ua,ua_name,size 1976,size 1981,size 1986,size 1991,size 1996,size 2001,size 2006,size 2013
1,Whangarei,14952,15573,19218,15195,16266,17067,19398,18012
2,Northern Auckland Zone,59898,68439,80313,81636,94956,104640,123930,131112
3,Western Auckland Zone,46692,52749,62295,61254,69789,75237,85851,88545
4,Central Auckland Zone,136413,129429,136896,124854,144315,160935,187641,198603
5,Southern Auckland Zone,78216,91974,108609,99825,113184,125328,149748,154890
6,Hamilton Zone,46113,48621,52968,49734,56967,61671,72207,76125
7,Cambridge Zone,3132,3639,4584,4653,5220,5835,6933,8028
8,Te Awamutu Zone,4170,4467,4803,4266,4914,5277,6186,6123
9,Tauranga,18231,21426,26118,25488,31905,38481,48666,51288
10,Rotorua,18231,19581,22263,18429,20670,21072,22722,20943
11,Gisborne,11370,12810,13275,10449,11313,11595,12765,12477
12,Napier Zone,19659,21138,22764,19809,22143,23004,26013,25197
13,Hastings Zone,21198,23091,24453,21912,22911,23622,26802,26259
14,New Plymouth,18057,18339,20892,18408,19962,19440,22812,24234
15,Wanganui,15282,15675,16215,13677,14160,14487,15438,14406
16,Palmerston North,27801,29886,30207,28413,31773,32271,36375,34977
17,Upper Hutt Zone,15660,16539,17010,15411,15342,15510,17217,17322
18,Lower Hutt Zone,44064,43899,45264,40356,41421,43080,46386,44664
19,Porirua Zone,16272,17244,19551,17259,16935,19224,20748,21834
20,Wellington Zone,78501,77145,79944,74526,81063,86853,98268,102024
21,Nelson,16419,17481,19536,18933,22200,23934,27393,28137
22,Christchurch,127806,126714,133062,124662,143397,152742,176325,173631
23,Dunedin,48012,46683,46164,40833,45099,46125,51267,49746
24,Invercargill,22062,24030,23475,20283,21054,19986,22140,22323
25,Kapiti,6741,7071,8601,9681,10821,12855,15174,15966
26,Blenheim,8079,8736,9696,9249,11037,12069,14010,13644
101,Pukekohe,4746,5034,5820,5700,6294,7476,9687,10953
102,Tokoroa,7161,7680,7551,5559,4758,4644,4218,3696
103,Taupo,5202,5982,7221,6789,8046,8616,9939,9783
104,Whakatane,4842,5466,6042,5475,6087,6771,7248,6954
105,Hawera,4215,4395,4389,4062,4467,4446,4428,4647
106,Feilding,4251,4584,4926,4791,5355,5160,5790,6042
107,Levin,6414,6585,7146,6489,6360,6441,6732,6363
109,Masterton,8010,7881,7914,6672,7197,7470,8208,8262
111,Greymouth,4467,4524,4650,3672,3876,3834,4431,4071
112,Ashburton,5781,5844,6210,5784,6432,6951,7863,8652
113,Timaru,11385,11676,11991,10101,10770,10884,12096,12267
114,Oamaru,5277,5319,5226,4575,4749,4644,5094,5040
116,Rangiora,2415,2544,3018,2997,3906,4413,5022,6555
117,Queenstown,1284,1434,2178,2589,4188,4848,6159,6705
201,Taipa Bay-Mangonui,114,153,153,204,225,264,267,303
202,Kaitaia,1254,1341,1413,1047,1161,1116,1158,873
203,Kerikeri,597,774,1059,1035,1242,1494,2055,2052
205,Paihia,258,321,396,345,495,543,537,471
206,Kawakawa,429,453,429,261,252,210,219,189
207,Moerewa,612,639,531,267,159,264,204,168
208,Kaikohe,1101,1209,1299,891,693,750,720,600
209,Dargaville,1314,1491,1620,1182,1236,1179,1182,1035
210,Wellsford,393,414,441,318,309,396,375,270
211,Warkworth,354,444,591,558,663,726,1002,1146
212,Snells Beach,90,183,426,522,702,927,1155,1233
213,Helensville,303,417,357,324,366,486,669,654
214,Waiheke Island,450,456,942,1095,1689,2334,2979,3243
215,Waiuku,1218,1329,1797,1728,1959,2106,2868,2982
216,Raglan,171,180,252,288,321,522,591,765
217,Huntly,1995,2253,2541,1551,1419,1644,1746,1611
218,Otorohanga,780,762,882,651,675,708,831,630
219,Te Kuiti,1539,1662,1623,1212,1263,1299,1380,1203
220,Taumarunui,2220,2355,2403,1638,1428,1302,1293,1182
221,Whitianga,279,414,528,489,666,864,1353,1491
222,Coromandel,120,180,294,234,237,312,354,345
223,Whangamata,225,246,468,522,732,924,1131,1044
224,Tairua,81,120,150,144,174,252,270,249
226,Thames,2190,2316,2289,2175,2346,2253,2316,2094
227,Waihi Beach,249,207,264,306,321,372,489,528
228,Paeroa,1161,1176,1296,903,951,999,1023,828
229,Waihi,1011,999,1062,930,1002,999,1086,1065
230,Te Aroha,1098,1152,1230,1116,1119,963,1062,1089
231,Morrinsville,1695,1740,1989,1833,1965,2145,2421,2571
232,Matamata,1653,1674,1971,1818,1953,2145,2202,2436
233,Putaruru,1395,1395,1410,1050,1044,1044,993,867
234,Katikati Community,255,414,462,411,528,588,807,867
235,Te Puke Community,1260,1773,2106,1623,1686,1968,2409,2334
237,Turangi,1668,1962,1113,918,789,828,945,789
238,Edgecumbe,411,558,546,369,396,366,375,369
239,Kawerau,2604,3069,3099,2316,1983,1698,1734,1206
240,Murupara,738,894,777,327,279,282,231,156
241,Opotiki,885,936,1041,699,690,801,888,873
242,Wairoa,1725,1752,1704,1281,1317,1161,1260,1092
243,Waipawa,468,465,585,501,498,537,579,546
244,Waipukurau,1191,1299,1470,1191,1278,1353,1461,1299
245,Dannevirke,1791,1878,2025,1770,1656,1689,1845,1515
246,Woodville,381,408,357,300,282,225,315,255
247,Waitara,2133,2073,2427,1635,1584,1395,1728,1899
248,Inglewood,684,753,984,837,807,738,858,1053
249,Stratford,1707,1884,1905,1443,1653,1569,1677,1857
250,Opunake,390,414,393,279,285,252,315,336
251,Eltham,618,684,678,552,465,534,534,471
253,Patea,549,615,267,93,150,144,132,171
254,Ohakune,336,336,432,261,279,324,303,279
255,Raetihi,273,303,333,207,204,195,189,180
256,Waiouru,1323,1593,1848,1254,1302,777,723,351
257,Bulls,555,582,555,546,522,486,441,426
258,Taihape,855,807,837,516,510,507,606,477
259,Marton,1728,1707,1845,1398,1392,1212,1386,1356
260,Foxton Community,957,948,1092,822,870,984,1092,984
261,Shannon,399,306,303,159,180,168,198,159
262,Otaki,1206,1230,1278,1242,1188,1452,1530,1548
263,Pahiatua,804,831,942,792,678,747,759,537
264,Carterton,1254,1212,1272,1017,987,1176,1278,1521
265,Greytown,486,408,468,417,429,510,534,609
266,Featherston,621,666,651,459,387,537,528,567
267,Martinborough,327,363,324,300,255,336,342,462
268,Picton,1074,1035,1032,903,1272,1329,1515,1440
269,Kaikoura,504,534,585,474,594,579,741,654
270,Takaka,258,288,309,222,255,264,303,333
271,Brightwater,96,165,210,231,348,330,510,429
272,Wakefield,201,246,225,234,321,345,537,630
273,Motueka,1725,1953,2169,2034,2223,2583,2778,2694
274,Westport,1635,1509,1509,1209,1137,1065,1245,1311
275,Reefton,318,303,321,183,207,201,207,333
276,Hokitika,1323,1356,1386,1212,1257,1143,1317,1308
278,Woodend,93,192,213,210,339,684,828,876
280,Oxford,153,159,222,195,267,288,363,498
281,Darfield,210,213,237,156,198,270,420,498
282,Lincoln,327,357,360,327,408,525,798,1275
283,Leeston,159,207,195,231,237,312,306,360
284,Pleasant Point,192,198,237,219,216,219,228,300
285,Geraldine,462,438,459,357,399,510,585,618
286,Temuka,981,978,1131,996,1125,1137,1248,1335
287,Twizel Community,1836,1650,375,183,273,267,300,372
288,Waimate,948,834,849,588,669,657,603,657
289,Milton,666,636,597,459,492,510,492,507
290,Balclutha,1866,1830,1716,1467,1521,1563,1542,1473
291,Alexandra,1200,1362,1692,1455,1650,1542,1911,1851
292,Cromwell,351,726,1302,936,759,876,1542,1713
293,Wanaka,258,312,534,546,831,1263,2568,3009
294,Arrowtown,90,48,165,204,435,561,876,966
296,Winton,504,600,579,480,543,597,540,594
297,Bluff,999,975,885,684,477,510,468,450
298,Te Anau,507,594,705,570,690,819,855,825
299,Riverton,423,507,459,384,411,354,372,309
300,Rolleston,189,150,225,306,354,948,2106,4713
301,Gore,4338,4878,4566,3909,4248,4140,4182,3933
302,Ngunguru,96,87,201,186,186,168,360,399
303,Mangawhai Heads,12,18,42,27,54,93,150,159
304,Te Kauwhata,156,192,189,141,132,132,195,279
305,Ngatea,132,198,204,171,159,189,225,204
306,Mapua,111,144,225,237,273,405,528,555
307,Amberley,132,156,159,81,144,150,228,267
308,Methven,246,255,255,243,300,339,474,633
309,Rakaia,123,102,96,99,78,159,201,318
310,Waikouaiti,240,258,252,210,210,171,189,195
